# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT
1.215378284454345703e+01,6.348589873666301564e-01,3.074007619044668016e-01,6.079728134530407724e-01,1.908470390305805689e-02,1.196758615705113826e-02,6.082338504957747194e-01,3.063719589447987945e-01,5.986547407188904657e+00
1.354067993164062500e+01,6.655641148793610684e-01,3.107002137737077674e-01,6.277540663355764217e+00,2.296743645191390987e-02,1.151697841063207758e-02,6.461911385196874580e-01,3.346656217136452227e-01,7.995135805777220384e-02
1.549640703201293945e+01,6.573804890915896371e-01,3.122751091723902639e-01,8.072248230606151598e-01,2.925823313060512895e-02,1.641056343629053102e-02,7.430983411032727748e-01,3.060346528998429405e-01,6.123034245313758284e+00
1.708093786239624023e+01,6.908148513483193254e-01,3.257345177040405493e-01,1.171438528579879929e-01,3.136044149521222818e-02,2.148394781058293040e-02,8.116720181652177235e-01,3.557858561604446690e-01,2.270037742718580553e-01
1.901840901374816895e+01,7.442448748471071074e-01,3.413816205963515205e-01,2.889268544480412260e-01,3.088815724515832015e-02,2.340340898693086050e-02,8.968101972892683627e-01,3.501746193613034519e-01,1.770360063740135104e-01
2.088192105293273926e+01,7.978812130469407071e-01,3.455776831047145392e-01,5.759701722903978194e+00,4.267830746057266894e-02,2.752787916066054205e-02,9.613688873885501973e-01,3.669579067996470156e-01,4.736678318345787647e-02
2.293459892272949219e+01,8.479195010073057315e-01,3.209658356267874324e-01,3.219909067491391053e-01,4.823320692301061308e-02,2.582939304491410626e-02,1.024431123959023138e+00,3.513121461546290791e-01,6.222973440459643513e+00
2.495374584197998047e+01,9.079878520476026837e-01,3.022981558333132646e-01,5.648235153523384788e+00,4.483511834826342524e-02,1.823275940733496206e-02,1.071941613360854362e+00,2.935341726293743125e-01,5.635532711833861619e+00
2.757826304435729980e+01,9.873771173907406329e-01,2.862866808786425077e-01,4.547951098579255946e-01,4.023714203763623098e-02,2.125649937719067267e-02,1.122563440552998282e+00,2.691595033404781123e-01,5.945039922471929472e+00
2.966524386405944824e+01,1.026039298522102072e+00,3.153845752994395291e-01,1.364037444273200173e+00,4.323046981553297502e-02,2.646573175560955685e-02,1.209251609862398213e+00,2.979456266403909259e-01,6.274375598310489188e+00
3.194634985923767090e+01,1.063864871232868436e+00,3.549006230020800845e-01,3.691642110628058360e-01,4.539955898099834464e-02,2.947056215245372549e-02,1.269681513158893660e+00,2.522714454528686701e-01,6.042625470694276579e+00
3.510073900222778320e+01,1.117324385843802226e+00,4.534406939341939502e-01,1.745631743570917438e+00,6.376973821199023729e-02,3.457535941497830168e-02,1.274344868238005857e+00,4.079775405489793338e-01,1.507297993584278961e+00
3.749290990829467773e+01,1.148454376846966607e+00,5.007262267672062395e-01,6.982597705130294541e-01,6.393316647881880366e-02,3.692600658641947975e-02,1.291420757346741111e+00,4.875044351360998673e-01,1.260409807237032220e+00
4.044389700889587402e+01,1.157785728427817240e+00,5.865555197615940353e-01,2.043005689539687086e+00,3.999068202019307600e-02,4.747824972413335065e-02,1.287782403593255687e+00,5.706083809015125574e-01,1.776704965430305094e+00
4.299058389663696289e+01,1.161019160527657412e+00,6.365588633511373162e-01,9.321489896314280044e-01,4.521582678063876953e-02,5.965201903045781046e-02,1.277496826419763032e+00,6.361492429991676412e-01,1.575516125085344221e+00
4.600156903266906738e+01,1.144571445501250562e+00,6.874267707928052307e-01,2.238040985343366263e+00,5.254864790712385908e-02,7.369017421225462772e-02,1.296888517706027422e+00,7.239223918911042999e-01,1.711229123750720227e+00
4.884504294395446777e+01,1.150757796485724072e+00,7.347341789566124159e-01,1.002890402843815032e+00,5.724409998289873430e-02,8.304230027604959929e-02,1.276040001867126961e+00,8.067442750107020055e-01,1.488714346466118554e+00
5.185190796852111816e+01,1.215860063803654967e+00,8.527949767004856518e-01,1.182772227120358233e+00,6.570316752315084885e-02,7.920637044038827956e-02,1.262515358422631628e+00,8.951911692414245003e-01,1.942136241145803632e+00
5.457592701911926270e+01,1.197016973362092118e+00,9.010594963067198870e-01,2.377694324003430282e+00,7.197721942643178772e-02,8.089950535817315436e-02,1.261729189757995417e+00,9.766619130993310360e-01,1.420638328039599330e+00
5.761718702316284180e+01,1.201135769083887528e+00,9.577566139018395264e-01,1.045986179759140322e+00,7.842403572484572816e-02,7.774020252669613940e-02,1.276425791647614494e+00,1.063418799155780414e+00,1.487277133701950582e+00
6.114188289642333984e+01,1.176973461072415628e+00,1.034178030087989697e+00,2.592867010560249152e+00,8.637792373237937471e-02,8.538433811568768572e-02,1.163857719758885301e+00,1.091908547668261287e+00,2.684798507174079418e+00
6.401345491409301758e+01,1.160511277450787526e+00,1.079983412444327717e+00,1.342690621326982914e+00,9.910490805376295786e-02,1.039153415400840691e-01,1.126630723780152055e+00,1.088753375867357320e+00,2.900304596018933978e+00
6.714730191230773926e+01,1.076610148887699125e+00,1.096883673793688230e+00,2.777711969902498801e+00,1.018262872405310132e-01,4.197927910799730683e-02,1.101194945180713036e+00,1.028610139408599133e+00,3.748725447826705359e+00
7.014331102371215820e+01,9.780188035878815134e-01,1.140443525796077218e+00,1.472497881409518872e+00,1.080245120948520876e-01,4.315806885975689150e-02,1.094732227900963251e+00,1.040757861342016088e+00,3.249849412430268369e+00
7.327310705184936523e+01,9.101329851581657637e-01,1.215465526652214523e+00,3.031398415429213067e+00,4.824761778512968308e-02,2.609380557456967772e-02,1.108844111958619649e+00,1.011778898303278273e+00,3.642061678579066264e+00
7.674725294113159180e+01,8.414193162088035027e-01,1.257629561751357095e+00,1.507212217862604620e+00,4.400143001619019612e-02,2.378177637675029168e-02,1.101661843422272913e+00,1.037915099023537957e+00,3.123434690386742929e+00
8.018589591979980469e+01,7.748457732889451055e-01,1.347061147012894589e+00,2.997927395109945881e+00,6.112147427206287426e-02,3.308762816333981477e-02,1.112411616900143230e+00,1.005805516390163135e+00,3.624579334326313074e+00
8.371297597885131836e+01,5.927509814519646980e-01,1.299075651463919900e+00,4.637861825474502098e+00,7.421945023963932853e-02,3.093194808465847892e-02,1.104764074019280340e+00,1.038043703258788808e+00,3.074827714041271420e+00
8.732109498977661133e+01,6.320767178109019113e-01,1.346895277547138781e+00,3.062448050412126754e+00,8.271481128662701299e-02,4.473170919635159615e-02,1.114976972993156012e+00,1.002547605359561445e+00,3.627164128211892713e+00
9.110129404067993164e+01,5.942354232159101635e-01,1.452373232691012594e+00,1.455043307184540780e+00,4.590078242403809738e-02,4.077798938830413944e-02,1.138828064359012293e+00,9.975513272943836718e-01,3.847552033240011049e+00
9.476978087425231934e+01,6.093745522684419491e-01,1.344302489141253831e+00,1.749271647036767297e+00,4.612816555846020045e-02,3.166874078339125542e-02,1.209954603516836480e+00,1.102579663605908422e+00,2.658533536894911009e+00
9.948695087432861328e+01,5.156971730969789336e-01,1.291177344928406523e+00,5.977791332852690154e+00,6.471902672030872827e-02,4.660717482862061778e-02,1.371722930901535742e+00,1.200550762408999272e+00,4.736134473983302229e-01
1.047796208858489990e+02,5.644542124801328331e-01,1.346252827546781994e+00,2.005067847381878821e+00,7.100152391288484799e-02,5.249259256592407608e-02,1.260575587226415051e+00,1.159132171188946403e+00,6.708747251902931197e-01
1.103645389080047607e+02,6.606427813404165406e-01,1.367821461316885090e+00,4.434693137534186036e+00,7.087429097651520848e-02,5.312619807173003805e-02,1.274542989764192891e+00,1.081458637976439041e+00,6.155703641429109751e+00
1.153242509365081787e+02,5.845959851307694910e-01,1.332881503704312909e+00,2.235081220745458008e+00,5.722420853671642688e-02,4.222890831011113372e-02,1.285440002664517856e+00,1.232744959736608470e+00,1.488617371611934415e+00
1.205090069770812988e+02,6.949920679912716670e-01,1.358941768580203435e+00,4.496199407815989701e+00,6.427279246263514767e-02,4.144523680177003566e-02,1.305940400507409338e+00,1.083907236909460670e+00,3.709991694348618196e+00
1.261498370170593262e+02,5.955015332826361085e-01,1.338446767841028340e+00,2.154649683613513833e+00,4.865371124707984496e-02,3.434437408082414295e-02,1.249577823709665969e+00,1.207342075242667567e+00,2.012010009068173844e+00
1.323192498683929443e+02,5.094374870769498020e-01,1.268085333072025644e+00,5.738431653015543255e+00,4.729120369677167202e-02,3.258156682074146715e-02,1.350908705238143437e+00,1.062829143605303450e+00,4.082819043164743533e+00
1.373035910129547119e+02,5.243313517671257529e-01,1.157954393027410767e+00,3.559563243640389452e+00,4.707169859898886061e-02,3.584031047779487333e-02,1.251977610583653533e+00,1.108504591896296576e+00,2.832884089573955322e+00
1.424018449783325195e+02,4.871240442790026881e-01,1.285111726069058768e+00,5.779994556642866321e+00,1.724321989302020006e-02,4.722515310033223446e-02,1.363876492951231922e+00,1.050399707208584665e+00,6.478742895877998009e-01
1.469484519958496094e+02,4.924183699094166200e-01,1.209245430740113036e+00,3.792714101338242827e+00,2.068884759342759505e-02,6.340125456110702606e-02,1.353655707371019590e+00,8.517966208244720505e-01,4.746249504485009041e+00
