# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT
3.173867106437683105e+01,9.630372464766494556e-01,4.737408964692579327e-01,6.117273963539068049e+00,3.211029224544156152e-02,2.033459015717518914e-02,1.245741488576715295e+00,3.383793028462241947e-01,6.221363540306489526e+00
3.444065189361572266e+01,1.029741547751060970e+00,4.930426119915628513e-01,1.015253851817025765e+00,3.496497075814160999e-02,2.456250269907988074e-02,1.317199935081545314e+00,3.344678543789476599e-01,1.071864441182030919e-01
3.832527399063110352e+01,1.081962671642538121e+00,5.069656470938468384e-01,5.605649830345629248e+00,4.859884794161231647e-02,2.977289583430084083e-02,1.416917262263845734e+00,3.212395942867447007e-01,5.803321888647511528e+00
4.170945501327514648e+01,1.016701912549442977e+00,5.010794152811730573e-01,8.005757788546539189e-01,6.066311419342878403e-02,2.363962384718030357e-02,1.485298116865317875e+00,2.850421084048062603e-01,6.112329665054814676e+00
4.500922799110412598e+01,1.108937120196639148e+00,5.185356410610806321e-01,5.634283420504180739e+00,8.504228731851101730e-02,2.579526063254680701e-02,1.592353404914509607e+00,2.676889316772444460e-01,5.702082265728688704e+00
4.875014901161193848e+01,1.011821955668857465e+00,4.931867177509932088e-01,9.892821254621864124e-01,9.153564126596648587e-02,2.264076858193221631e-02,1.568623658872271953e+00,3.248615322837269948e-01,1.180852820828208610e-01
5.263106489181518555e+01,9.869714604850292616e-01,5.669889303027716432e-01,2.679228138874833132e+00,8.904573480892727377e-02,5.539968140606667257e-02,1.599297338490319520e+00,2.882644168429879250e-01,5.807769242580087976e+00
5.658051705360412598e+01,9.782962411529584346e-01,6.259547848390040192e-01,9.559370263997473138e-01,9.143026193890835263e-02,6.149335569994739820e-02,1.559804087497413061e+00,3.483250240422626764e-01,3.331293935628893976e-01
6.072587990760803223e+01,9.231787772427905159e-01,7.253398426015339462e-01,2.760690975924336765e+00,9.253668551699030520e-02,8.482265618448618649e-02,1.454497812544925939e+00,4.699237825591502382e-01,2.081099871227035436e+00
6.468449902534484863e+01,9.713358305025288075e-01,8.477090196890857410e-01,1.034383918843702732e+00,9.303549494410977283e-02,9.644283718853023657e-02,1.461939623973228963e+00,5.644092613061593156e-01,1.262178433244121045e+00
6.803098702430725098e+01,9.667444474970029455e-01,9.092321685588186098e-01,2.495349164022700794e+00,9.801423149893936926e-02,9.189888047830574447e-02,1.454823683674584256e+00,6.491130681378542988e-01,1.814723012135690761e+00
7.187341094017028809e+01,9.465422088007009460e-01,1.001970486975568342e+00,7.928345787347998996e-01,9.667831791297797073e-02,7.052747633928556359e-02,1.476329435386502409e+00,7.458776166779277350e-01,1.076110980658485650e+00
7.572394704818725586e+01,9.303998296337004925e-01,1.067940036485210298e+00,2.477407170286483051e+00,1.031735692014432298e-01,6.192650981256268838e-02,1.442280893317263502e+00,8.413915982034725349e-01,2.077007777938987942e+00
8.180533003807067871e+01,9.932779186326141652e-01,1.184212807442132531e+00,6.105341328458866457e+00,1.129322923849398336e-01,8.148590256985904778e-02,1.583193521526496061e+00,8.940742901389284736e-01,6.271102285366826123e+00
8.828589701652526855e+01,8.579329345065939139e-01,1.135502863947690511e+00,1.331870471929324617e+00,8.803466519865249529e-02,9.507693019897746345e-02,1.588140172429064689e+00,1.046356180636669464e+00,2.011733757943455103e+00
